task_or_flow,language,technical_valid,technical_wrong_recovery,technical_help_return,technical_keyboard,technical_leave_return,technical_reload,learner_observation,fresh_example,evidence_or_issue
tour,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
tour,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
mail-reply,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
mail-reply,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
mail-attach,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
mail-attach,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
schedule,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
schedule,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
timeclock,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
timeclock,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
paystub,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
paystub,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
shift-review,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
shift-review,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
mail-etiquette,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
mail-etiquette,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
call-out-sick,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
call-out-sick,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
incident,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
incident,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
handbook,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
handbook,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
account-recovery,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
account-recovery,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
calendar,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
calendar,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
files,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
files,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
mail-send-link,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
mail-send-link,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
spreadsheet,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
spreadsheet,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
make-a-copy,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
make-a-copy,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
status-report,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
status-report,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
triage,en,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
triage,es,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,
route-lead,en,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
route-lead,es,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
route-healthcare,en,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
route-healthcare,es,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
route-office,en,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
route-office,es,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
route-college,en,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
route-college,es,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
route-pause,en,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
route-pause,es,Partial: selects direction; exact earned-credit records unchanged,Pending,Pending,Pending,Pending,Passed: selected direction and next task survive reload,Pending,Pending,2026-09-06 e2e/route-resume.spec.ts; real job-posting completion preserved through lead/healthcare/college/pause/office; full route endings and learner observation pending
meeting-minutes,en,Pending,Passed: empty action-list correction,Passed: returns to notes with draft,Partial: transcript and return activation,Passed: in-session agenda/notes/follow-up switching,Pending,Pending,Pending,2026-09-06 e2e/meeting-recovery.spec.ts; learner observation and reload remain pending
meeting-minutes,es,Pending,Passed: empty action-list correction,Passed: returns to notes with draft,Partial: transcript and return activation,Passed: in-session agenda/notes/follow-up switching,Pending,Pending,Pending,2026-09-06 e2e/meeting-recovery.spec.ts; learner observation and reload remain pending
